id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
GO-010,P0,1.1,backend,Go项目初始化,,,,,,已完成,已完成,已完成,已提交,,backend/cmd/codeflow-server/main.go:1;backend/go.mod:1;backend/Makefile:1,"done_at:2026-01-17;evidence:go build成功 构建产物codeflow-server可运行 项目布局符合Go标准;risk:low"
GO-020,P0,1.2,backend,Memory模块迁移,迁移向量存储与记忆管理：SQLiteVectorStore、TextChunker、EmbeddingProvider,1. 实现IVectorStore接口（Go）；2. SQLite集成（mattn/go-sqlite3）；3. 向量搜索与余弦相似度；4. 文本分块逻辑；5. Embedding提供者抽象,AUTOSERVER,验证SQLite WAL模式；测试向量CRUD操作；检查余弦相似度计算,大数据量向量检索性能；并发读写安全；内存泄漏检测,已完成,已完成,已完成,已提交,,backend/internal/memory/types.go:1;backend/internal/memory/store.go:1;backend/internal/memory/chunker.go:1;backend/internal/memory/embedding.go:1,"done_at:2026-01-17;evidence:go build成功 4个测试全部通过(embedding/chunker/similarity/store);picked_reason:P0优先且是后续模块公共能力"
GO-030,P0,1.3,backend,Privacy模块迁移,迁移隐私感知加密与审计：PrivacyManager、AES-CBC加密、PBKDF2/scrypt密钥派生,1. AES-256-CBC加密解密；2. PBKDF2与scrypt密钥派生；3. 加密性能基准测试；4. 敏感数据脱敏；5. 审计日志集成,AUTOSERVER,验证AES-CBC实现正确性；测试密钥派生安全性；性能基准达标,加密兼容性测试；密钥轮换逻辑；审计日志完整性,已完成,已完成,已完成,已提交,,backend/internal/privacy/types.go:1;backend/internal/privacy/manager.go:1;backend/internal/privacy/benchmark.go:1,"done_at:2026-01-17;evidence:go build成功 10个测试全部通过(encrypt/decrypt/scrypt/keygen/rotate/doc/search/metrics/pkcs7/score);picked_reason:P0且加密是安全基础设施"
GO-040,P0,1.4,backend,Audit模块迁移,迁移审计日志持久化：FileAuditStorage、JSONL格式、哈希链验证,1. 实现IAuditStorage接口；2. JSONL追加写入；3. SHA-256哈希链验证；4. 日志轮转（按大小）；5. 启动时完整性检查,AUTOSERVER,验证JSONL格式正确性；测试哈希链验证逻辑；日志轮转触发,大规模日志写入性能；哈希链断裂恢复；并发写入安全,已完成,已完成,已完成,已提交,,backend/internal/audit/types.go:1;backend/internal/audit/storage.go:1,"done_at:2026-01-17;evidence:go build成功 7个测试全部通过(append_get/query/hashchain/rotation/clear/hash/matching);picked_reason:P0且审计是合规基础"
GO-050,P1,2.1,backend,Git模块迁移,迁移Git操作封装：仓库管理、提交、回滚、分支操作,1. Git命令封装（exec调用）；2. 提交历史查询；3. 原子快照绑定；4. 回滚逻辑；5. 冲突检测,AUTOSERVER,验证Git命令正确性；测试回滚完整性；检查冲突检测准确性,大仓库性能测试；并发Git操作；跨平台Git路径,已完成,已完成,已完成,已提交,,backend/internal/git/types.go:1;backend/internal/git/manager.go:1,"done_at:2026-01-17;evidence:go build成功 8个测试全部通过(init/commit/log/snapshot/reset/mapping/branch/diffbetween);picked_reason:P1优先级且是版本控制基础"
GO-060,P1,2.2,backend,Config模块迁移,迁移多层级配置系统：Global、Session、Role三级继承,1. 配置加载与合并；2. 三级继承覆盖；3. YAML/JSON解析；4. 环境变量注入；5. 配置热重载,AUTOSERVER,验证继承覆盖逻辑；测试配置序列化；热重载触发,配置文件损坏容错；大配置文件性能；类型安全,已完成,已完成,已完成,已提交,,backend/internal/config/types.go:1;backend/internal/config/manager.go:1,"done_at:2026-01-17;evidence:go build成功 10个测试全部通过(basic/session/role/resolve/channel/conflict/callback/persist/env/sessions);picked_reason:P1优先级且是配置基础设施"
GO-070,P1,2.3,backend,Adapters模块迁移,迁移LLM适配器：Claude、Gemini、Codex API集成,1. 统一LLM接口抽象；2. HTTP客户端封装；3. 流式响应处理；4. 重试与超时策略；5. API密钥管理,AUTOSERVER,验证API调用正确性；测试流式响应解析；重试逻辑触发,API限流处理；网络异常恢复；大Payload性能,已完成,已完成,已完成,已提交,,backend/internal/adapters/types.go:1;backend/internal/adapters/claude.go:1,"done_at:2026-01-17;evidence:go build成功 9个测试全部通过(history/rewind/config/send/retry/compact/apierror/timeout/default);picked_reason:P1优先级且是LLM通信核心"
GO-080,P1,2.4,backend,HotSwap模块迁移,迁移模型热切换：状态迁移、上下文同步、切换历史,1. 切换状态机；2. 上下文序列化；3. 切换历史记录；4. 回滚机制；5. 并发切换保护,AUTOSERVER,验证状态迁移完整性；测试并发切换安全；历史记录持久化,频繁切换稳定性；状态不一致检测；内存泄漏,已完成,已完成,已完成,已提交,,backend/internal/hotswap/types.go:1;backend/internal/hotswap/manager.go:1,"done_at:2026-01-17;evidence:go build成功 11个测试全部通过(basic/register/switch/canswitch/relay/migrate/failure/registermodel/configure/unavailable/retry);picked_reason:P1优先级且是模型切换核心"
GO-090,P2,3.1,backend,AST模块实现,实现AST解析与Token级上下文提取：Tree-sitter集成多语言支持,1. Tree-sitter Go绑定；2. 多语言解析器（TS/Go/Python/Java）；3. 符号表提取；4. Token计数；5. 增量解析,AUTOSERVER,验证AST解析准确性；测试多语言支持；符号表完整性,大文件解析性能；增量解析正确性；内存占用,已完成,已完成,已完成,已提交,,backend/internal/ast/types.go:1;backend/internal/ast/parser.go:1,done_at:2026-01-17;evidence:go build成功 13个测试全部通过;picked_reason:P2优先级且是代码分析基础
GO-100,P2,3.2,backend,SAMG模块实现,实现结构化原子图谱：S-P-O三元组、Cytoscape数据生成,1. 图谱存储（SQLite）；2. 三元组CRUD；3. 图遍历算法；4. PageRank影响力；5. Cytoscape JSON导出,AUTOSERVER,验证图谱操作正确性；测试遍历算法性能；PageRank准确性,大规模图谱性能；并发修改安全；图数据导出,已完成,已完成,已完成,已提交,,backend/internal/samg/types.go:1;backend/internal/samg/store.go:1;backend/internal/samg/extractor.go:1,done_at:2026-01-17;evidence:go build成功 13个测试全部通过;picked_reason:P2优先级且是知识图谱基础
