"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"MS-010","P0","1.1","backend","原子记忆系统 - 数据结构设计","定义 AtomicMemory 接口和数据库表结构，支持细粒度记忆存储","1) AtomicMemory 接口包含 id/timestamp/content/tags/sessionId/folderId/source/importance/embedding 字段; 2) Go 结构体定义完整; 3) SQLite 表结构创建成功; 4) 支持向量存储","AUTOBACKEND","检查字段类型定义; 确认索引设计合理","数据库迁移无错误; 字段约束正确","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:48-76;backend/internal/memory/atomic_memory.go:1;backend/internal/memory/atomic_memory_test.go:1;packages/core/src/memory/types.ts:1","picked_reason:P0且是后续原子记忆服务与API实现的基础数据契约，先完成可解锁MS-020/MS-050;done_at:2026-02-09;evidence:go test ./internal/memory=ok(0.159s);ac:字段契约+SQLite建表+JSON序列化辅助+TS接口同步"
"MS-020","P0","1.1","backend","原子记忆系统 - 后端存储实现","实现 AtomicMemoryService，支持 CRUD 和向量检索","1) Add 方法生成 embedding 并存储到 SQLite 和向量库; 2) Search 方法支持语义检索; 3) SearchByTimeRange/SearchByTags 方法正常; 4) Update/Delete 方法完整; 5) 错误处理完善","AUTOBACKEND","检查向量存储接口; 确认 embedding 生成逻辑","RAG 检索结果准确; 性能满足要求","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:79-130;backend/internal/memory/atomic_service.go:1;backend/internal/memory/atomic_service_test.go:1","picked_reason:P0且紧随MS-010数据结构后实现服务层，可直接复用已落地schema并解锁MS-050 API端点;done_at:2026-02-09;evidence:go test ./internal/memory=ok(0.154s);ac:Add自动向量化+SQLite/Vector双写,Search语义检索+时间/标签检索,Update/Delete含向量索引同步与错误处理"
"MS-030","P0","1.1","frontend","原子记忆系统 - 前端服务实现","实现 AtomicMemoryService 类，支持本地缓存和后端同步","1) add 方法发送到后端并本地缓存; 2) search 方法优先本地，回退后端; 3) LocalVectorStore 实现完整; 4) CRUD 方法完整; 5) 错误处理完善","AUTOFRONTEND","检查本地缓存策略; 确认数据同步逻辑","本地搜索快速响应; 离线模式可用","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:132-176;packages/core/src/memory/AtomicMemoryService.ts:1;packages/core/src/memory/__tests__/AtomicMemoryService.test.ts:1;packages/core/src/memory/index.ts:1","picked_reason:P0且后端API(MS-050)已落地，优先补齐前端服务层以解锁MS-040异步提取与后续Hook集成;done_at:2026-02-09;evidence:pnpm exec vitest run packages/core/src/memory/__tests__/AtomicMemoryService.test.ts=8 passed;ac:add后端同步+本地缓存,search本地优先+远端回退,LocalVectorStore实现检索/标签/时间范围,CRUD完整,统一错误处理"
"MS-040","P0","1.1","frontend","原子记忆系统 - 异步提取机制","实现 MemoryExtractor，对话后自动提取记忆","1) extractFromConversation 方法异步执行; 2) LLM 提取 prompt 设计合理; 3) JSON 解析和存储正确; 4) 错误处理不阻塞主流程; 5) 提取结果包含 content/tags/importance","AUTOFRONTEND","检查 LLM prompt 质量; 确认异步执行不阻塞","记忆提取准确; 不影响对话响应速度","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:178-241;packages/core/src/memory/MemoryExtractor.ts:1;packages/core/src/memory/__tests__/MemoryExtractor.test.ts:1;packages/core/src/memory/index.ts:1","picked_reason:P0且与已完成MS-030同属前端记忆能力主链路，优先实现异步提取以解锁后续Hook集成(MS-130);done_at:2026-02-09;evidence:pnpm exec vitest run packages/core/src/memory/__tests__/MemoryExtractor.test.ts packages/core/src/memory/__tests__/AtomicMemoryService.test.ts=12 passed;ac:extractFromConversation异步执行+LLM提取prompt+JSON容错解析+错误不阻塞主流程+输出content/tags/importance"
"MS-050","P0","1.1","backend","原子记忆系统 - API 端点","提供 RESTful API 端点支持原子记忆 CRUD","1) POST /api/v1/memory/atomic 创建记忆; 2) GET /api/v1/memory/atomic/search 搜索记忆; 3) GET /api/v1/memory/atomic/session/:id 获取会话记忆; 4) PUT/DELETE 端点完整; 5) 参数验证和错误处理完善","AUTOBACKEND","检查 API 路由注册; 确认请求参数验证","API 调用返回正确格式; 错误码规范","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:243-277;backend/internal/api/handlers/atomic_memory.go:1;backend/internal/api/handlers/atomic_memory_test.go:1;backend/internal/api/router.go:1","picked_reason:P0且直接承接已完成MS-020服务层，尽快打通后端可调用入口并解锁前端集成;done_at:2026-02-09;evidence:go test ./internal/api/...=ok(handlers/api);ac:新增POST/GET(session+search)/PUT/DELETE原子记忆端点+参数校验+404/400/500错误处理"
"MS-060","P0","1.2","backend","用户画像系统 - 数据结构","定义 UserProfile 接口和数据库表结构","1) UserProfile 包含 userId/lastUpdated/sections/metadata 字段; 2) sections 包含 preferences/background/expertise/communicationStyle/goals; 3) Go 结构体定义完整; 4) SQLite 表结构创建成功","AUTOBACKEND","检查字段设计; 确认 JSON 存储格式","数据库迁移无错误; 字段可扩展","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:280-304;backend/internal/memory/user_profile.go:1;backend/internal/memory/user_profile_test.go:1","picked_reason:P0且是画像能力基础数据契约，先落地后可解锁MS-070动态更新与MS-080注入链路;done_at:2026-02-09;evidence:go test ./internal/memory -run \"UserProfile|AtomicMemory\" -count=1=ok(0.145s);ac:新增UserProfile/UserProfileSections/UserProfileMetadata结构+Validate+JSON helper+SQLite user_profiles schema 与幂等初始化"
"MS-070","P1","1.2","frontend","用户画像系统 - 动态更新机制","实现 UserProfileService，基于最近记忆自动更新画像","1) update 方法使用 LLM 分析最近记忆; 2) 更新 prompt 设计合理; 3) ProfileStorage 接口实现完整; 4) 定期更新触发器正常; 5) 更新不阻塞主流程","AUTOFRONTEND","检查 LLM prompt 质量; 确认更新频率合理","画像更新准确; 反映用户特征变化","未开始","未开始","未开始","未提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:306-346;packages/core/src/memory/UserProfileService.ts:1",""
"MS-080","P1","1.2","frontend","用户画像系统 - 自动注入机制","实现 ProfileInjectionHook，发送前自动注入用户画像","1) 注册到 hook_before_send; 2) 画像格式化为 system prompt; 3) 注入逻辑不影响原有消息; 4) 画像内容简洁清晰; 5) 支持禁用注入","AUTOFRONTEND","检查 Hook 注册; 确认注入位置正确","画像自动注入; 模型回复符合用户偏好","未开始","未开始","未开始","未提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:348-384;packages/core/src/hooks/ProfileInjectionHook.ts:1",""
"MS-090","P0","1.3","both","影子目录脚手架 - 初始化逻辑","自动创建和维护 .codeflow/ 目录结构","1) 创建 domain/governance/registry/ 目录; 2) 生成 config.json 配置文件; 3) 更新 .gitignore 确保 .codeflow 被追踪; 4) TypeScript 和 Go 版本实现一致; 5) 支持重复初始化（幂等）","AUTOBOTH","检查目录权限; 确认 .gitignore 更新逻辑","目录结构正确; config.json 格式规范","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:386-509;packages/core/src/shadow/ShadowScaffold.ts:1;packages/core/src/shadow/__tests__/ShadowScaffold.test.ts:1;backend/internal/shadow/scaffold.go:1;backend/internal/shadow/scaffold_test.go:1;.gitignore:1","picked_reason:P0且作为影子系统基础设施，可同时解锁MS-100/MS-110/MS-120等后续投影链路;done_at:2026-02-09;evidence:go test ./internal/shadow -count=1=ok(0.022s)|pnpm exec vitest run packages/core/src/shadow/__tests__/ShadowScaffold.test.ts=2 passed;ac:TS+Go双实现均支持创建.codeflow/domain|governance|registry、写入config.json、清理.gitignore中.codeflow忽略并保持幂等"
"MS-100","P0","1.4","frontend","意图投影 - AST 解析","使用 AST 解析器提取代码关键信息","1) 集成现有 ASTParser; 2) 提取 publicMethods（名称/参数/返回类型/docstring）; 3) 提取 imports 和 classDefinitions; 4) 支持 TypeScript/JavaScript/Go/Python; 5) 解析错误有友好提示","AUTOFRONTEND","检查 AST 解析准确性; 确认多语言支持","AST 提取信息完整; 解析速度快","已完成","已完成","已完成","已提交","","plan/2026-02-08_23-14-memory-shadow-integration.md:511-546;packages/core/src/shadow/IntentProjector.ts:1;packages/core/src/shadow/__tests__/IntentProjector.test.ts:1;packages/core/src/ast/ContextBuilder.ts:1","picked_reason:P0且是意图投影基础能力，先完成可解锁MS-110与MS-120;done_at:2026-02-09;evidence:pnpm exec vitest run packages/core/src/shadow/__tests__/IntentProjector.test.ts packages/core/src/ast/__tests__/ContextBuilder.test.ts=60 passed;ac:集成SimpleASTParser提取publicMethods/imports/classDefinitions并覆盖TS/JS/Go/Python，不支持类型返回友好错误"
