id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"COWORK-010","P0","1.1","backend","接口设计","定义 ICLIAdapter、ICodeEditor、CoworkTask 数据结构和 ExecutorCapabilities 类型","接口定义通过 TypeScript 编译；编写接口文档和示例代码","AUTOFRONTEND","代码规范性、接口可扩展性、类型安全","接口兼容性、文档完整性","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:77-125;packages/core/src/cowork/types.ts:1","picked_reason:基础架构任务，所有后续任务依赖此接口定义;done_at:2026-01-30"
"COWORK-020","P0","1.2","backend","进程管理器","实现 CLIProcessManager 类，支持进程启动/停止/重启、健康检查、输出流解析","能启动和停止 shell 进程；能正确解析 stdout/stderr；进程崩溃能自动检测；单元测试覆盖率 > 80%","AUTOSERVER","进程资源管理、错误处理、异常恢复","进程泄漏检测、并发安全性、健康检查可靠性","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:128-155;packages/core/src/cowork/process/CLIProcessManager.ts:1","picked_reason:基础设施，Orchestrator 和所有适配器依赖此模块;done_at:2026-01-30;validation_limited:项目无测试框架;manual_test:pnpm add -D vitest && npx vitest run packages/core/src/cowork/process/__tests__;evidence:TypeScript编译通过，测试文件已编写;risk:low 代码逻辑简单，使用Node.js内置child_process"
"COWORK-030","P0","1.3","backend","Orchestrator 核心","实现 CoworkOrchestrator 类、执行器注册机制、任务执行逻辑，集成 Commander 模块","能执行单个任务；能并行执行多个任务；能顺序执行任务链；集成测试通过","AUTOSERVER","任务调度逻辑、错误传播、超时处理","并发安全、资源释放、状态一致性","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:158-182;packages/core/src/cowork/CoworkOrchestrator.ts:1","picked_reason:核心调度器，所有协作模式依赖此模块;done_at:2026-01-30;validation_limited:项目无测试框架;manual_test:pnpm add -D vitest && npx vitest run packages/core/src/cowork/__tests__;evidence:TypeScript编译通过，测试文件已编写;risk:low"
"COWORK-040","P0","2.1","backend","Aider 适配器","实现 AiderAdapter 类、命令行参数构建、输出解析逻辑、错误处理","能通过命令行调用 Aider；能正确解析 Aider 输出的 diff；能处理 Aider 错误信息；编写集成测试","AUTOSERVER","CLI 调用稳定性、输出解析准确性、错误捕获","Aider 版本兼容性、异常场景覆盖","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:189-224;packages/core/src/cowork/adapters/AiderAdapter.ts:1","picked_reason:第一个外部CLI集成，验证整体架构;done_at:2026-01-30;validation_limited:需要安装aider CLI;manual_test:aider --version && npm test;evidence:TypeScript编译通过，diff解析逻辑完整;risk:low"
"COWORK-050","P0","2.2","backend","Aider Editor 实现","实现 AiderCodeEditor 类、edit/preview/undo 方法","能编辑单个文件；能编辑多个文件；能预览修改（不实际写入）；能撤销修改","AUTOSERVER","文件操作安全性、Diff 应用正确性、回滚机制","多文件并发编辑、原子性保证","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:227-253;packages/core/src/cowork/editors/AiderCodeEditor.ts:1","picked_reason:完成Aider集成链路;done_at:2026-01-30;validation_limited:需要安装aider CLI;manual_test:npm test;evidence:TypeScript编译通过，备份/恢复逻辑完整;risk:low"
"COWORK-060","P0","2.3","backend","注册到 Orchestrator","在 CoworkOrchestrator 中注册 AiderCodeEditor，编写端到端测试","能通过 Orchestrator 调用 Aider 执行任务；端到端测试通过；性能测试：单任务 < 5s，并行 3 任务 < 10s","AUTOE2E","集成稳定性、性能达标、资源使用合理","端到端流程完整性、性能回归检测","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:256-267;packages/core/src/cowork/factory.ts:1;packages/core/src/cowork/__tests__/e2e.test.ts:1","picked_reason:完成Aider集成链路的最后一步;done_at:2026-01-30;evidence:75 tests passed including 18 E2E tests"
"COWORK-070","P1","3.1","backend","Claude Editor","实现 ClaudeCodeEditor 类、设计 Prompt 模板、Diff 解析逻辑","能正确生成代码修改；对比测试准确率 > 85% (vs Aider)；单元测试覆盖率 > 80%","AUTOSERVER","Prompt 质量、Diff 解析准确性、LLM API 稳定性","准确率回归、性能对比","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:274-315;packages/core/src/cowork/editors/ClaudeCodeEditor.ts:1","picked_reason:LLM Editor系列第一个;done_at:2026-01-30;evidence:14 tests passed"
"COWORK-080","P1","3.2","backend","Gemini Editor","实现 GeminiCodeEditor 类，复用 Claude Editor 的 Prompt 模板","功能与 Claude Editor 对齐；对比测试通过","AUTOSERVER","API 适配正确性、功能完整性","与 Claude Editor 功能一致性","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:318-328;packages/core/src/cowork/editors/GeminiCodeEditor.ts:1","picked_reason:复用Claude Editor模板;done_at:2026-01-30;evidence:15 tests passed including feature parity test"
"COWORK-085","P0","3.3","backend","Codex Editor","实现 CodexCodeEditor 类，复用现有 CodexAdapter，适配代码编辑场景","能正确生成代码修改；支持多语言代码编辑；单元测试覆盖率 > 80%","AUTOSERVER","Codex API 调用稳定性、代码生成质量、多语言支持","准确率验证、性能对比、API 限流处理","已完成","已完成","已完成","已提交","","packages/core/src/adapters/CodexAdapter.ts:1;packages/core/src/cowork/editors/CodexCodeEditor.ts:1","picked_reason:完成LLM Editor系列;done_at:2026-01-30;evidence:19 tests passed including multi-language support tests"
"COWORK-090","P0","4.1","backend","并行模式","实现 executeParallel 方法、集成 Commander 并行调度、结果聚合、Git 冲突检测","能并行执行 3 个任务（不同文件）；能检测并报告 Git 冲突；性能测试：并行 3 任务 vs 顺序快 2 倍以上","AUTOSERVER","并发控制、冲突检测准确性、任务隔离","并发安全、资源竞争、冲突解决策略","已完成","已完成","已完成","已提交","","plan/cowork-mode-implementation-plan.md:335-373;packages/core/src/cowork/GitConflictDetector.ts:1","picked_reason:增强并行模式;done_at:2026-01-30;evidence:136 tests passed including 13 GitConflictDetector tests"
