id,title,description,acceptance_criteria,priority,area,dev_state,review_initial_state,review_regression_state,git_state,review_initial_requirements,review_regression_requirements,test_mcp,refs,notes
P001,Cowork Plan 模式 - 核心框架,"实现 Cowork 的 Plan 模式核心框架，整合 OpenSpec 约束驱动和 Aha-Loop 愿景构建能力。

功能点：
1. PlanModeOrchestrator - Plan 模式编排器
2. VisionBuilder - 交互式愿景构建（来自 Aha-Loop）
3. ConstraintExtractor - 约束集提取（来自 OpenSpec）
4. PlanArtifactManager - 工件管理（proposal/specs/design/tasks）","1. 可通过 startPlanMode() 启动 Plan 模式
2. VisionBuilder 支持交互式问答提取需求
3. ConstraintExtractor 能从需求生成约束集
4. 工件按 OpenSpec 结构存储到 .codeflow/changes/",P0,cowork,已完成,已完成,已完成,已提交,"1. 接口设计符合现有 Cowork 架构
2. 与 Commander 模式兼容
3. 类型定义完整","1. 不影响现有 Cowork 并行/顺序/辩论模式
2. 配置系统兼容",AUTOSERVER,"packages/core/src/cowork/CoworkOrchestrator.ts:1;packages/core/src/cowork/types.ts:1;packages/core/src/cowork/plan/PlanModeOrchestrator.ts:1","picked_reason:P0优先级且是Plan模式基础;done_at:2026-02-03;evidence:45 tests passed"
P002,Plan 模式 - 工件生成器,"实现 OpenSpec 风格的工件生成器，支持生成 proposal.md、specs/、design.md、tasks.md。

功能点：
1. ProposalGenerator - 生成 proposal.md（为什么做、改什么）
2. SpecGenerator - 生成 specs/ 目录（需求和场景）
3. DesignGenerator - 生成 design.md（技术方案）
4. TaskGenerator - 生成 tasks.md（实施清单）","1. 每个生成器独立可用
2. 支持 fast-forward 一次性生成所有工件
3. 工件格式符合 OpenSpec 规范
4. 支持增量更新（流动非僵化）",P0,cowork,已完成,已完成,已完成,已提交,"1. 生成器使用低成本模型（Haiku）
2. 输出格式标准化","1. 生成的工件可被后续阶段正确解析
2. 支持中文和英文",AUTOSERVER,"packages/core/src/cowork/types.ts:1;packages/core/src/cowork/plan/PlanArtifactManager.ts:1;packages/core/src/cowork/plan/ArtifactGenerators.ts:1","picked_reason:依赖P001已完成;done_at:2026-02-03;evidence:32 tests passed"
P003,Plan 模式 - 架构设计阶段,"实现 Aha-Loop 的 Architect 阶段，支持技术选型和架构设计。

功能点：
1. TechResearcher - 技术研究（调用 Research Agent）
2. ArchitectureDesigner - 架构设计
3. RoadmapGenerator - 里程碑规划
4. PRDGenerator - PRD 队列生成","1. 支持技术选型研究
2. 生成 architecture.md
3. 生成 roadmap.json（里程碑+PRD 队列）
4. 研究结果可追溯",P1,cowork,已完成,已完成,已完成,已提交,"1. 研究阶段使用 Sonnet 模型
2. 架构设计使用 Opus 模型","1. 与 VisionBuilder 输出兼容
2. roadmap.json 格式可被执行阶段解析",AUTOSERVER,"packages/core/src/cowork/plan/ArchitectPhase.ts:1;packages/core/src/cowork/plan/types.ts:1","picked_reason:P1优先级且依赖P001/P002已完成;done_at:2026-02-03;evidence:32 tests passed"
P004,Plan 模式 - 执行循环,"实现 Aha-Loop 的 5 阶段执行循环：Research → Explore → Review → Implement → QA。

功能点：
1. ResearchPhase - 技术研究
2. ExplorePhase - 并行探索（可选）
3. ReviewPhase - 计划评审
4. ImplementPhase - 代码实现
5. QAPhase - 质量检查","1. 每个阶段可独立执行
2. 阶段之间状态持久化
3. 支持跳过不需要的阶段
4. AI 自主决定是否需要并行探索",P1,cowork,已完成,已完成,已完成,已提交,"1. 实现阶段使用低成本模型
2. 审查阶段使用高端模型","1. 与现有 Cowork 执行逻辑兼容
2. 状态可跨会话恢复",AUTOSERVER,"packages/core/src/cowork/plan/ExecutionLoop.ts:1","picked_reason:依赖P003已完成;done_at:2026-02-03;evidence:28 tests passed"
P005,Plan 模式 - God Committee 监督,"实现 Aha-Loop 的 God Committee 独立监督机制。

功能点：
1. GodCommittee - 监督委员会
2. OversightReport - 监督报告
3. DecisionAudit - 决策审计
4. RiskAssessment - 风险评估","1. 监督所有关键决策
2. 生成监督报告
3. 支持投票机制
4. 所有决策可追溯",P2,cowork,已完成,已完成,已完成,已提交,"1. 使用独立 Agent 避免自我审查偏见
2. 监督不阻塞主流程","1. 与审计系统集成
2. 报告格式标准化",AUTOSERVER,"packages/core/src/cowork/plan/GodCommittee.ts:1;packages/core/src/audit/AuditManager.ts:1","picked_reason:Plan模式监督组件;done_at:2026-02-03;evidence:41 tests passed"
P006,并行模式 - Worktree 管理器,"实现基于 Git Worktree 的真正隔离并行开发。

功能点：
1. WorktreeManager - Worktree 生命周期管理
2. createWorktree() - 创建隔离工作目录
3. removeWorktree() - 清理工作目录
4. listWorktrees() - 列出所有工作目录","1. 支持创建/删除/列出 worktree
2. 每个 worktree 有独立分支
3. 支持并发创建多个 worktree
4. 清理时不影响主分支",P0,cowork,已完成,已完成,已完成,已提交,"1. 使用 git worktree 命令
2. 路径规范化处理","1. 不影响现有 Git 集成
2. 异常时正确清理",AUTOSERVER,"packages/core/src/git/WorktreeManager.ts:1;packages/core/src/git/index.ts:8","picked_reason:P0优先级且是并行模式基础;done_at:2026-02-03;evidence:40 tests passed"
P007,并行模式 - 多 Agent 并行执行器,"实现多 Agent 在不同 Worktree 中并行执行任务。

功能点：
1. ParallelExecutor - 并行执行器
2. AgentWorker - Agent 工作单元
3. WorkerPool - 工作池管理
4. ResultCollector - 结果收集器","1. 支持同时启动多个 Agent
2. 每个 Agent 在独立 worktree 中工作
3. 支持不同 Agent 使用不同模型
4. 实时收集执行进度",P0,cowork,已完成,已完成,已完成,已提交,"1. Agent 之间完全隔离
2. 支持取消单个 Agent","1. 与现有 Cowork 并行模式兼容
2. 资源使用可控",AUTOSERVER,"packages/core/src/cowork/parallel/ParallelExecutor.ts:1;packages/core/src/cowork/parallel/WorkerPool.ts:1;packages/core/src/cowork/parallel/ResultCollector.ts:1","picked_reason:依赖P006已完成;done_at:2026-02-03;evidence:28 tests passed"
P008,并行模式 - 方案评估器,"实现并行方案的评估和比较功能。

功能点：
1. SolutionEvaluator - 方案评估器
2. CodeQualityMetrics - 代码质量指标
3. PerformanceMetrics - 性能指标
4. MaintainabilityMetrics - 可维护性指标
5. ComparisonReport - 对比报告","1. 支持多维度评估（质量/性能/可维护性）
2. 生成对比报告
3. 支持自动推荐最优方案
4. 评估结果可视化",P1,cowork,已完成,已完成,已完成,已提交,"1. 评估使用 Opus 模型
2. 指标可配置","1. 评估结果可被 GUI 展示
2. 支持自定义评估维度",AUTOSERVER,"packages/core/src/cowork/types.ts:1;packages/core/src/cowork/parallel/ResultCollector.ts:1;packages/core/src/cowork/parallel/SolutionEvaluator.ts:1","picked_reason:依赖P007已完成;done_at:2026-02-03;evidence:15 tests passed"
P009,并行模式 - 用户选择与合并,"实现用户选择最优方案并合并的功能。

功能点：
1. SolutionSelector - 方案选择器
2. MergeStrategy - 合并策略
3. ConflictResolver - 冲突解决
4. MergeExecutor - 合并执行器","1. 展示所有方案供用户选择
2. 支持预览每个方案的代码
3. 选择后自动合并到主分支
4. 合并冲突时提供解决方案",P1,cowork,已完成,已完成,已完成,已提交,"1. 合并前备份当前状态
2. 支持回滚合并","1. 与原子快照系统集成
2. 合并后清理 worktree",AUTOSERVER,"packages/core/src/git/AtomicSnapshotManager.ts:1;packages/core/src/cowork/parallel/SolutionEvaluator.ts:1;packages/core/src/cowork/parallel/SolutionMerger.ts:1","picked_reason:依赖P008已完成;done_at:2026-02-03;evidence:20 tests passed"
P010,Spec 注入系统 - 分层规范库,"实现 Trellis 风格的分层规范库。

功能点：
1. SpecLibrary - 规范库管理
2. 分层目录结构（frontend/backend/guides）
3. SpecLoader - 规范加载器
4. SpecValidator - 规范验证器","1. 支持 .codeflow/spec/ 目录结构
2. 按领域分层存储规范
3. 支持 Markdown 格式规范
4. 规范格式验证",P1,spec,已完成,已完成,已完成,已提交,"1. 目录结构符合 Trellis 规范
2. 支持热加载","1. 与现有配置系统兼容
2. 支持团队共享",AUTOSERVER,"packages/core/src/spec/SpecLibrary.ts:1;packages/core/src/spec/index.ts:1","picked_reason:P1优先级且是Spec注入系统基础;done_at:2026-02-03;evidence:32 tests passed"
P011,Spec 注入系统 - Auto-Injection,"实现规范自动注入机制。

功能点：
1. SpecInjector - 规范注入器
2. ContextAnalyzer - 上下文分析（判断任务类型）
3. RelevantSpecSelector - 相关规范选择
4. InjectionHook - 注入钩子","1. 启动时自动注入相关规范
2. 根据任务类型选择规范
3. 支持 Hook 触发注入
4. 注入内容可追溯",P1,spec,已完成,已完成,已完成,已提交,"1. 注入不超过 Token 预算
2. 支持优先级排序","1. 与 Hook 系统集成
2. 不影响现有对话流程",AUTOSERVER,"packages/core/src/spec/SpecInjector.ts:1","picked_reason:依赖P010已完成;done_at:2026-02-03;evidence:33 tests passed"
P012,Spec 注入系统 - Session Journal,"实现会话日志持久化和上下文恢复。

功能点：
1. SessionJournal - 会话日志管理
2. JournalWriter - 日志写入
3. JournalIndex - 日志索引
4. ContextRestorer - 上下文恢复","1. 会话结束时自动生成摘要
2. 摘要存储到 workspace/{user}/journal-*.md
3. 维护 index.md 索引
4. 新会话自动加载最近日志",P2,spec,已完成,已完成,已完成,已提交,"1. 摘要使用低成本模型生成
2. 日志格式标准化","1. 与向量记忆系统互补
2. 支持多用户隔离",AUTOSERVER,"packages/core/src/spec/SessionJournal.ts:1;packages/core/src/memory/types.ts:1","picked_reason:Spec注入系统的会话持久化组件;done_at:2026-02-03;evidence:38 tests passed"
