"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"ADV-010","P0","1","backend","Snapshot模块实现","新建internal/snapshot/模块：定义ISnapshotService接口、实现原子快照创建/恢复/删除、Git-对话-向量三位一体绑定","1. ISnapshotService接口定义完整；2. 快照包含git_hash/conversation_state/vector_pointer/memory_graph_version；3. 创建快照<500ms；4. 恢复快照能正确回滚Git/对话/向量状态","AUTOSERVER","检查接口设计合理性；验证快照数据完整性；测试并发创建","大量快照管理性能；恢复操作原子性；存储空间优化","已完成","已完成","已完成","已提交","","Code Flow：新一代智能集成开发环境.md:231-270;项目规划.md:155-196;backend/internal/snapshot/types.go:1;backend/internal/snapshot/service.go:1","picked_reason:P0优先级且是所有Snapshot功能的基础依赖;done_at:2026-01-19;evidence:所有测试通过(7/7);validation:go test通过,创建时间<500ms"
"ADV-020","P0","2","backend","Snapshot API实现","实现原子快照REST接口：创建/列表/详情/恢复/删除","1. POST /snapshots创建快照返回ID；2. GET /snapshots支持分页和时间范围筛选；3. POST /snapshots/:id/restore执行全栈回滚；4. 恢复操作响应<2秒","AUTOSERVER","验证与ISnapshotService集成；检查回滚逻辑完整性；测试并发恢复","回滚操作原子性；大量快照查询性能；边界条件测试","未开始","未开始","未开始","未提交","","Code Flow：新一代智能集成开发环境.md:243-252;backend/internal/snapshot/service.go:1",""
"ADV-030","P0","3","backend","Config模块实现","新建internal/config/模块：定义IConfigService接口、实现Global/Session/Role三级配置继承覆盖、配置持久化","1. IConfigService接口定义完整；2. 支持CLI参数>角色配置>会话配置>全局配置的优先级；3. 配置变更实时生效；4. 配置持久化到SQLite","AUTOSERVER","检查配置继承逻辑；验证优先级覆盖；测试配置热更新","配置加载性能；并发修改安全；配置迁移兼容性","未开始","未开始","未开始","未提交","","Code Flow：新一代智能集成开发环境.md:147-186;项目规划.md:80-124;1.md:6-50",""
"ADV-040","P0","4","backend","Config API实现","实现多层级配置REST接口：全局配置/会话配置/角色配置CRUD","1. GET/PUT /config/global操作正常；2. GET/PUT /config/sessions/:id支持会话级覆盖；3. GET/PUT /config/roles/:role支持Main/Coder/Sub独立配置；4. 配置变更触发Hook通知","AUTOSERVER","验证与IConfigService集成；检查配置校验逻辑；测试配置继承","配置同步延迟；多客户端并发修改；配置回滚","未开始","未开始","未开始","未提交","","项目规划.md:80-124;backend/internal/config/service.go:1",""
"ADV-050","P1","5","backend","PAPI变量路由模块实现","在config模块中实现PAPI系统：变量定义/动态映射/任务路由/热切换支持","1. 支持${BACKEND_EXPERT}等变量定义；2. 根据任务类别自动路由到对应Agent配置；3. 支持对话中途热切换变量；4. 变量映射持久化","AUTOSERVER","检查变量解析逻辑；验证路由准确性；测试热切换","变量冲突处理；路由性能；配置一致性","未开始","未开始","未开始","未提交","","Code Flow：新一代智能集成开发环境.md:169-175;3.md:37-48;5.md:26-30",""
"ADV-060","P1","6","backend","PAPI API实现","实现PAPI变量管理REST接口：变量CRUD/路由查询/热切换","1. GET/PUT /config/papi操作正常；2. POST /config/papi/resolve根据任务类别返回目标配置；3. POST /config/papi/hotswap执行热切换；4. 响应时间<100ms","AUTOSERVER","验证与PAPI模块集成；检查路由逻辑；测试热切换回滚","并发热切换；变量循环引用检测；性能测试","未开始","未开始","未开始","未提交","","3.md:37-48;backend/internal/config/papi.go:1",""
"ADV-070","P1","7","backend","Hook管理模块实现","新建internal/hooks/模块：定义IHookManager接口、实现生命周期Hook注册/触发/配置","1. IHookManager接口定义完整；2. 支持hook_before_send/hook_post_response/hook_on_stream等Hook；3. Hook可配置启用/禁用；4. Hook执行日志记录","AUTOSERVER","检查Hook设计合理性；验证触发顺序；测试Hook链","Hook执行性能；异常处理；并发安全","未开始","未开始","未开始","未提交","","2.md:10-35;项目规划.md:296-313",""
"ADV-080","P1","8","backend","Hook API实现","实现Hook管理REST接口：列表/配置/手动触发/事件日志","1. GET /hooks返回所有Hook及状态；2. PUT /hooks/:name/config配置Hook参数；3. POST /hooks/:name/trigger手动触发Hook；4. GET /hooks/events返回Hook执行日志","AUTOSERVER","验证与IHookManager集成；检查触发逻辑；测试事件日志","Hook并发触发；日志查询性能；配置持久化","未开始","未开始","未开始","未提交","","2.md:10-35;backend/internal/hooks/service.go:1",""
"ADV-090","P1","9","backend","Memory Preflight模块实现","在memory模块中实现渐进式记忆披露：语义预检/匹配分级/动态注入","1. 语义预检提取关键词与向量库碰撞；2. 区分强匹配(.claude/rules)和弱匹配(历史会话)；3. 支持动态注入记忆到Context；4. 预检响应<200ms","AUTOSERVER","检查预检算法；验证匹配准确性；测试注入逻辑","大规模记忆预检性能；匹配精度；注入一致性","未开始","未开始","未开始","未提交","","5.md:5-22;项目规划.md:259-288;记忆1.md:43-54",""
"ADV-100","P1","10","backend","Memory Preflight API实现","实现渐进式记忆披露REST接口：预检/建议/注入","1. POST /memory/preflight返回匹配的记忆建议；2. GET /memory/suggestions返回分级建议列表；3. POST /memory/inject将选中记忆注入Context；4. 支持批量注入","AUTOSERVER","验证与Memory Preflight模块集成；检查建议排序；测试注入效果","并发预检；建议缓存；注入性能","未开始","未开始","未开始","未提交","","5.md:5-22;backend/internal/memory/preflight.go:1",""
