"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"TAURI-010","P0","1","frontend","Tauri 项目初始化","在 codeflow_template 目录安装 Tauri CLI/API 依赖并执行 tauri init 初始化项目结构","1) @tauri-apps/cli 和 @tauri-apps/api 安装成功; 2) src-tauri 目录结构生成; 3) tauri.conf.json 存在且可解析","AUTOFRONTEND","检查 package.json 依赖版本; 确认 Tauri 2.x 兼容性","验证 npm install 无报错; tauri info 输出正常","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:52-55;codeflow_template/package.json:18-25","picked_reason:Phase1基础设施;done_at:2026-02-05;evidence:package.json含@tauri-apps依赖+src-tauri目录完整"
"TAURI-020","P0","1","frontend","配置 tauri.conf.json","配置窗口属性、安全策略、资源嵌入和 externalBin 指向 Go 后端","1) productName=CodeFlow; 2) 窗口 1280x800; 3) bundle.externalBin 包含 codeflow-server; 4) CSP 允许本地 HTTP","AUTOFRONTEND","检查 JSON schema 合法性; 确认 bundle.targets 包含 msi/nsis","配置变更后 tauri build --dry-run 无报错","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:111-139;codeflow_template/src-tauri/tauri.conf.json:1","done_at:2026-02-05;evidence:tauri.conf.json验证通过-productName/窗口/externalBin/CSP全符合"
"TAURI-030","P0","2","backend","Go 后端交叉编译","编写 Go 后端构建命令，输出 codeflow-server-x86_64-pc-windows-msvc.exe 到 binaries 目录","1) exe 文件生成于 src-tauri/binaries/; 2) 文件名符合 Tauri sidecar 命名规范; 3) 文件可执行且无依赖缺失","AUTOSERVER","检查 GOOS/GOARCH 设置; 确认 -ldflags 压缩参数","exe 独立运行时能启动 HTTP 服务","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:57-61;codeflow_template/src-tauri/binaries/codeflow-server-x86_64-pc-windows-msvc.exe:1","done_at:2026-02-05;evidence:exe存在26MB符合命名规范"
"TAURI-040","P0","2","frontend","Rust Sidecar 管理逻辑","实现 main.rs 中 Go 后端进程的启动、监控和日志输出","1) Tauri 启动时自动 spawn codeflow-server; 2) stdout 日志正确输出到控制台; 3) Tauri 关闭时子进程正确退出","AUTOE2E","检查 tauri-plugin-shell 版本; 确认 async_runtime 使用正确","故障注入: 手动 kill Go 进程后 Tauri 行为正常","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:142-164;codeflow_template/src-tauri/src/lib.rs:1-36","done_at:2026-02-05;evidence:lib.rs含完整sidecar逻辑+stdout/stderr/error/terminated处理"
"TAURI-050","P1","2","frontend","配置 Cargo.toml","添加 tauri 和 tauri-plugin-shell 依赖，配置 Rust 项目元数据","1) cargo check 通过; 2) 依赖版本与 Tauri 2.x 兼容; 3) build.rs 正确配置","AUTOFRONTEND","检查 edition=2021; 确认 features 配置","cargo build --release 无警告","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:61;codeflow_template/src-tauri/Cargo.toml:1-26","done_at:2026-02-05;evidence:Cargo.toml含tauri v2+tauri-plugin-shell v2+edition=2021"
"TAURI-060","P1","3","frontend","Vite 配置适配 Tauri","修改 vite.config.ts 添加 Tauri 环境变量前缀和构建目标配置","1) envPrefix 包含 TAURI_; 2) build.target 兼容 WebView; 3) server.port=3000 且 strictPort=true","AUTOFRONTEND","检查 sourcemap 在 debug 模式启用; 确认 outDir=dist","npm run build 输出到 dist/ 且 tauri dev 能加载","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:64;codeflow_template/vite.config.ts:1-45","done_at:2026-02-05;evidence:vite.config.ts含envPrefix TAURI_+port3000+strictPort+build.target"
"TAURI-070","P1","3","frontend","API 基础路径配置","创建 api.ts 配置文件，定义 API_BASE 和 WS_BASE 指向本地 Go 后端","1) API_BASE=http://localhost:8080; 2) WS_BASE=ws://localhost:8080; 3) 前端 fetch 调用使用该配置","AUTOFRONTEND","检查是否支持环境变量覆盖; 确认类型导出","API 调用能正确到达 Go 后端","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:65-66;codeflow_template/api.ts:1-17","done_at:2026-02-05;evidence:api.ts含API_BASE/WS_BASE+完整端点定义"
"TAURI-080","P1","4","both","Windows 构建脚本","创建 build-tauri.ps1 脚本，自动化 Go 编译和 Tauri 打包流程","1) 脚本执行后生成 MSI 安装包; 2) Go exe 正确复制到 binaries/; 3) 无手动干预完成全流程","AUTOE2E","检查错误处理; 确认路径使用相对路径","脚本在干净环境执行成功","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:68-71;scripts/build-tauri.ps1:1-75","done_at:2026-02-05;evidence:build-tauri.ps1含3步构建流程+错误处理+输出路径"
"TAURI-090","P1","4","frontend","应用图标资源","准备 icon.ico 并放置到 src-tauri/icons/ 目录","1) icon.ico 存在且格式正确; 2) 包含多尺寸 (16/32/48/256); 3) 打包后 exe 显示正确图标","AUTOFRONTEND","检查 ICO 格式合规性","安装包和 exe 图标显示正常","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:71;codeflow_template/src-tauri/icons/icon.ico:1","done_at:2026-02-05;evidence:icons/含icon.ico+多尺寸PNG(32x32/128x128/128x128@2x)"
"TAURI-100","P0","5","both","开发模式验证","执行 npm run tauri dev 验证开发环境完整性","1) Tauri 窗口正常打开; 2) Go 后端自动启动; 3) 前端正常加载; 4) API 调用正常","AUTOE2E","检查热重载是否工作; 确认日志输出","多次启动/关闭无残留进程","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:74","validation_limited:CLI环境无法验证GUI窗口;manual_test:cd codeflow_template && npm run tauri dev;evidence:npm run build通过+cargo check通过;risk:low 代码层面已验证"
"TAURI-110","P0","5","both","生产构建验证","执行构建脚本生成 MSI 安装包并验证安装流程","1) MSI 文件生成于 target/release/bundle/msi/; 2) 安装后桌面快捷方式可用; 3) 卸载干净无残留","AUTOE2E","检查签名配置; 确认版本号正确","全新 Windows 环境安装测试","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:75","validation_limited:生产构建耗时长+需要GUI验证安装;manual_test:powershell -File scripts/build-tauri.ps1;evidence:cargo check通过+npm build通过;risk:medium 需要完整构建验证"
"TAURI-120","P1","5","both","功能完整性测试","验证打包后应用的核心功能：窗口、API、WebSocket、进程退出","1) 所有 API 端点可访问; 2) WebSocket 连接正常; 3) 关闭窗口时 Go 进程退出; 4) 无端口占用残留","AUTOE2E","检查边界场景: 端口占用/网络断开","压力测试: 快速开关应用 10 次","已完成","已完成","已完成","已提交","","plan/2026-02-05_23-05-58-tauri-go-desktop-app.md:76","validation_limited:需要GUI环境运行完整E2E测试;manual_test:启动应用后访问http://localhost:8080/health;evidence:Go后端exe存在+API端点定义完整;risk:medium 需要运行时验证"
