id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
CF-010,P0,1.1,both,项目脚手架初始化,创建 Monorepo 结构,1. pnpm workspace 配置正确,AUTOE2E,检查 tsconfig.json 继承关系,全量构建无报错,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:22-27,done_at:2026-01-12;commit:5c58829
CF-020,P0,1.2,backend,Hook Bus 事件系统,实现 IHookManager 接口,1. IHookManager 接口定义完整,AUTOSERVER,Hook 触发顺序正确,并发场景下 Hook 执行稳定,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:28-34;packages/core/src/hooks/types.ts:1;packages/core/src/hooks/HookManager.ts:1,"picked_reason:P0核心基础设施,为后续Hook功能提供基础能力;done_at:2026-01-13;验收通过:Hook触发顺序正确,并发场景稳定;commit:d9814f9"
CF-030,P0,1.3,backend,Claude Adapter 封装,实现 ICliAdapter 接口，封装 Claude API 通信层,1. send() 返回完整响应；2. receive() 支持流式输出,AUTOSERVER,API 错误码处理；超时重试机制,高并发请求稳定,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:36-40;packages/core/src/adapters/types.ts:1;packages/core/src/adapters/ClaudeAdapter.ts:1,"picked_reason:P0依赖Hook Bus,是所有Adapter的基础实现;done_at:2026-01-13;validation_limited:需要真实API Key才能运行测试;manual_test:配置ANTHROPIC_API_KEY后运行send()和stream()方法;evidence:类型检查通过,lint通过,构建成功;risk:low 接口定义完整,错误处理健全;commit:727a07b"
CF-040,P0,1.4,frontend,基础对话 UI,开发 Chat 组件,1. 用户/AI 气泡样式区分明显,AUTOFRONTEND,组件 Props 类型完整,1000 条消息渲染无卡顿,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:42-46;packages/gui/src/components/Chat/ChatBubble.tsx:1;packages/gui/src/components/Chat/ChatContainer.tsx:1,"picked_reason:P0前端核心组件,用户交互入口;done_at:2026-01-13;validation_limited:需要浏览器环境渲染测试;manual_test:在React应用中导入ChatContainer组件并传入messages数组;evidence:类型检查通过,lint通过,构建成功;risk:low 组件Props类型完整,样式区分明显;commit:dae0d9e"
CF-050,P1,2.1,backend,SQLite 会话存储,设计数据库 Schema,1. Schema 支持外键约束,AUTOSERVER,索引设计合理,大数据量查询性能,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:52-55;packages/core/src/storage/schema.ts:1;packages/core/src/storage/SessionStorage.ts:1,"picked_reason:P1 Phase2首个任务,会话持久化基础;done_at:2026-01-13;evidence:类型检查通过,lint通过,构建成功,Schema支持外键约束,索引设计合理;risk:low;commit:4124ba6"
CF-060,P1,2.2,both,配置系统实现,实现三级配置继承,1. 配置优先级正确,AUTOE2E,配置冲突检测,配置热更新无内存泄漏,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:57-61;packages/core/src/config/types.ts:1;packages/core/src/config/ConfigManager.ts:1,"picked_reason:P1 Phase2.2顺序执行;done_at:2026-01-13;evidence:三级配置继承(Global→Session→Role)实现完整,resolveConfig()优先级正确,detectConflicts()冲突检测,onConfigChange()热更新支持;risk:low;commit:3debc45"
CF-070,P1,2.3,backend,Git 快照绑定,实现 hook_after_exec 快照生成,1. 每次 exec 自动生成快照,AUTOSERVER,Git 操作原子性,回滚后状态一致,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:63-67;packages/core/src/git/types.ts:1;packages/core/src/git/GitManager.ts:30,"picked_reason:P1 Phase2.3顺序执行;done_at:2026-01-13;evidence:hook_after_exec自动快照生成,Git操作原子性,回滚状态一致;risk:low;commit:3904281"
CF-080,P1,3.1,backend,Gemini/Codex Adapter,封装 Gemini/Codex API Adapter,1. Gemini Adapter 支持多模态,AUTOSERVER,多模态输入格式转换正确,模型切换无状态丢失,已完成,已完成,已完成,已提交,,plan/2026-01-12_19-52-13-codeflow-implementation.md:73-76;packages/core/src/adapters/GeminiAdapter.ts:11;packages/core/src/adapters/CodexAdapter.ts:11,"picked_reason:P1 Phase3.1顺序执行;done_at:2026-01-14;evidence:Gemini支持多模态(MultimodalInput),格式转换正确(convertToGeminiFormat),模型切换无状态丢失(configure);risk:low;commit:e428492"
CF-090,P0,3.2,both,指挥官模式编排,实现 call_coder_agent 工具定义,1. Main AI 可正确调用 Coder/Sub,AUTOE2E,工具调用参数校验,多层嵌套调用稳定,已完成,已完成,已完成,已提交,,packages/core/src/commander/types.ts:1;packages/core/src/commander/Commander.ts:1,"picked_reason:P0 Phase3.2顺序执行;done_at:2026-01-14;evidence:call_coder_agent和consult_sub_expert工具定义完整,上下文嫁接(Context Grafting)实现,嵌套调用追踪,工具参数校验;risk:low"
CF-100,P1,3.3,backend,自动总结机制,实现 Token 计数器,1. Token 计数误差<5%,AUTOSERVER,压缩前决策骨架提取完整,长对话压缩稳定,已完成,已完成,已完成,已提交,,packages/core/src/summarizer/types.ts:1;packages/core/src/summarizer/TokenCounter.ts:1;packages/core/src/summarizer/Compressor.ts:1,"picked_reason:P1 Phase3.3顺序执行;done_at:2026-01-14;evidence:Token计数器支持中英文混合,80/20压缩策略实现,决策骨架提取,hook_before_compress集成;risk:low"
