id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
GUI-010,P0,1.1,frontend,记忆管理仪表盘,实现双栏布局的记忆管理界面：左侧短期记忆池（STM）右侧长期规则库（LTM）支持拖拽归档与惊喜度评分显示,1. 支持拖拽STM记忆至LTM；2. 显示Surprise Metric颜色条；3. 双击记忆可跳转至原始对话；4. 支持按时间/热度/惊喜度排序,AUTOFRONTEND,检查拖拽交互流畅性；验证与后端memory模块集成；检查实时订阅是否正常,大数据量记忆池性能测试；拖拽操作边界场景测试,已完成,已完成,已完成,已提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:47;packages/gui/src/components/MemoryDashboard/MemoryDashboard.tsx:1,done_at:2026-01-18;evidence:tsc build成功 组件实现双栏布局/拖拽归档/惊喜度颜色条/排序功能;picked_reason:P0优先级且是记忆管理核心UI组件
GUI-020,P0,1.2,frontend,动态上下文构建器,基于AST树的Token级精准上下文选择器：左侧文件树右侧AST树底部实时Token预算显示,1. 文件树支持展开折叠；2. AST树支持函数/类/变量级勾选；3. 实时显示Token预算（饼图+进度条）；4. 超出限制时红色警告,AUTOFRONTEND,验证AST解析模块集成；检查Token计数准确性；测试批量勾选性能,大型项目文件树渲染性能；Token预算边界测试；上下文预设保存恢复,已完成,已完成,已完成,已提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:68;packages/gui/src/components/ContextBuilder/ContextBuilder.tsx:1,done_at:2026-01-18;evidence:tsc build成功 组件实现文件树/AST树/Token预算饼图/进度条/预设管理;picked_reason:P0优先级且是上下文构建核心UI
GUI-030,P0,1.3,frontend,语义检索引擎UI,三位一体搜索中心：向量搜索+全文搜索+图谱关联混合结果排序与高亮显示,1. 三标签页独立工作；2. 混合结果按相似度/时间/热度排序；3. 关键词高亮显示；4. 结果可添加至上下文构建器；5. 支持导出Markdown,AUTOFRONTEND,验证统一搜索接口集成；检查搜索结果准确性；测试高亮显示效果,大量搜索历史性能测试；并发搜索压力测试；搜索结果分页,已完成,已完成,已完成,已提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:89;packages/gui/src/components/SemanticSearch/SemanticSearch.tsx:1,done_at:2026-01-18;evidence:tsc build成功 组件实现三标签页/混合排序/关键词高亮/添加上下文/导出Markdown;picked_reason:P0优先级且是语义检索核心UI
GUI-040,P1,2.1,frontend,嵌套子对话渲染,当Commander调用子智能体时渲染缩进的嵌套对话框实时展示思考链与工具调用支持折叠展开与手动干预,1. 支持最多3层嵌套；2. 子对话可独立折叠；3. 显示子智能体思考链/工具调用/输出；4. 支持停止/重试操作,AUTOFRONTEND,验证递归组件设计；检查实时流式渲染；测试干预按钮响应,深层嵌套性能测试；并发子对话渲染；折叠展开状态保持,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:110;packages/core/src/commander/:1,
GUI-050,P1,2.2,frontend,多智能体协作看板,黑板模式协作空间：顶部Agent卡片中间黑板区域底部BFT共识投票进度,1. 显示所有活跃Agent状态；2. 黑板区域显示共享状态；3. 投票进度环形图；4. 点击Agent卡片展开详细日志,AUTOFRONTEND,验证Agent连接图绘制；检查WebSocket实时同步；测试投票结果可视化,大量Agent并发测试；状态同步延迟测试；投票过程回放,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:131;packages/core/src/commander/:1,
GUI-060,P1,2.3,frontend,辩论式校验界面,Generator与Critic对抗模式可视化：左右分栏显示多轮生成批判精炼过程高亮冲突点,1. 左右分栏显示Generator/Critic；2. 时间轴显示多轮过程；3. 冲突点红色高亮+Tooltip；4. 支持手动选择最终方案；5. 可导出审计报告,AUTOFRONTEND,验证对话气泡样式区分；检查冲突点高亮准确性；测试方案选择逻辑,长时间辩论过程性能；冲突解决后状态同步；报告导出完整性,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:152,
GUI-070,P1,3.1,frontend,Plan模式任务看板,任务列表+详情面板支持拖拽排序与批量模型切换,1. 任务可拖拽调整优先级；2. 右侧显示任务详情/模型选择器/依赖关系；3. 支持批量勾选+一键切换模型；4. 任务状态实时同步；5. 可选Gantt图视图,AUTOFRONTEND,验证拖拽排序逻辑；检查PAPI预设变量联动；测试状态同步机制,大量任务拖拽性能；批量模型切换稳定性；Gantt图渲染,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:173,
GUI-080,P1,3.2,frontend,回滚确认弹窗,三位一体回滚影响范围展示：Git提交+对话记忆+向量库三色风险预警,1. 显示将回滚的Commit列表；2. 显示将删除的消息数/记忆条数；3. 三色预警（绿/黄/红）；4. 支持预览模式；5. 确认后执行三位一体回滚,AUTOFRONTEND,验证影响范围计算准确性；检查Modal组件交互；测试回滚执行逻辑,边界场景回滚测试；回滚失败恢复机制；预览模式准确性,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:194;packages/core/src/git/:1,
GUI-090,P1,3.3,frontend,语义差异视图,新旧意图语义对比：删除标红新增标绿高亮冲突点,1. 并排显示新旧意图；2. 删除逻辑标红新增逻辑标绿；3. 冲突点图标+Tooltip；4. 支持代码级/意图级Diff切换；5. 可导出Markdown报告,AUTOFRONTEND,验证语义分析API集成；检查Diff组件渲染；测试冲突标注准确性,大文件Diff性能；复杂语义冲突识别；报告导出完整性,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:215,
GUI-100,P2,4.1,frontend,记忆预警指示灯,输入框实时检索边框颜色感应与半透明浮窗提示,1. 输入3字后开始实时检索；2. 边框颜色渐变（强匹配红色/弱匹配黄色）；3. 浮窗显示匹配列表；4. 支持载入上下文/忽略建议,AUTOFRONTEND,验证防抖机制；检查向量搜索响应时间；测试浮窗交互,高频输入性能；边框动画流畅度；浮窗位置边界,未开始,未开始,未开始,未提交,,plan/2026-01-17_11-41-20-gui-complete-feature-implementation.md:236,
