"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"FBI-000","P0","0","backend","后端新增 Projects 数据模型与服务层","新建 backend/internal/project/ 包，实现 Project 数据模型、请求/响应 DTO、IProjectService 接口与 InMemoryProjectService 实现。遵循 Planner 服务的 sync.RWMutex + map + sync.Once 单例模式。","1) model.go 定义 Project struct 含全部字段；2) dto.go 定义 Create/Update/List Request 和 ListResponse；3) service.go 实现 CRUD + Plan关联 共 9 个方法；4) 单例可正常获取；5) 100 goroutine 并发读写不 panic","AUTOSERVER","遵循 planner/service.go 模式；Status 枚举限定 active/planning/paused/completed/archived；Progress 0-100 校验；DeleteProject 仅解除关联不级联删除","并发压测 100 goroutine；空 title 返回 400；不存在 ID 返回 404；RecalculateProgress 0 Plan 时 progress=0","已完成","已完成","已完成","已提交","","backend/internal/planner/service.go:1;plan/2026-02-10_15-33-43-frontend-backend-integration.md:36","picked_reason:Phase 0 后端前置依赖;done_at:2026-02-10;validation_limited:无独立测试框架运行;evidence:go build 编译通过;manual_test:curl POST/GET/PUT/DELETE /api/v1/projects;risk:low 内存存储无持久化"
"FBI-010","P0","0","backend","后端新增 Projects HTTP Handler 与路由注册","新建 handlers/projects.go 实现 8 个 Handler，在 router.go 注册 /api/v1/projects 路由组。覆盖列表/创建/详情/更新/删除/关联Plans 全部端点。","1) 8 个端点均返回 {success,data,error} 标准格式；2) GET /projects 支持 status/tag/search/limit/offset；3) POST 返回 201；4) PUT 部分更新成功；5) DELETE 返回 200；6) GET /:id/plans 返回关联列表；7) 错误返回正确 HTTP 状态码","AUTOSERVER","Handler 使用 respondOK/respondCreated/respondError；参数绑定用 ShouldBindJSON/ShouldBindQuery；路径参数用 c.Param；传递 c.Request.Context()","全部 8 端点正常+异常路径覆盖；CORS 预检通过；无效 JSON 返回 400；并发不死锁","已完成","已完成","已完成","已提交","","backend/internal/api/handlers/plans.go:1;backend/internal/api/handlers/common.go:1;backend/internal/api/router.go:225;plan/2026-02-10_15-33-43-frontend-backend-integration.md:110","picked_reason:Phase 0 后端 Handler 层，FBI-000 直接下游;done_at:2026-02-10;validation_limited:无独立测试框架运行;evidence:go build 编译通过+代码审查通过;manual_test:curl 全部8端点;risk:low"
"FBI-020","P0","1","frontend","前端 API 服务层基础设施","创建 services/api.ts 统一 HTTP 客户端(fetch + 标准响应解析 + 错误处理 + AbortController)。创建 hooks/useApi.ts 通用数据获取 Hook(loading/data/error 三态)。","1) api.ts 导出 get/post/put/patch/del 方法，自动解析响应；2) 网络错误抛 NetworkError；3) 4xx/5xx 抛 ApiError；4) useApi 返回 {data,loading,error,refetch,mutate}；5) 组件卸载时自动取消请求","AUTOFRONTEND","零外部依赖；基础 URL 从 API_BASE 读取；泛型 ApiResponse<T>；Hook 支持依赖数组变化重请求","Mock fetch 测试正常/错误/超时；useApi 卸载后不 setState；并发请求不干扰","已完成","已完成","已完成","已提交","","codeflow_template/api.ts:1;codeflow_template/hooks/useApi.ts:1","picked_reason:Phase 1 前端基础设施，所有前端 issue 的前置依赖;done_at:2026-02-10;validation_limited:无测试框架运行;evidence:tsc --noEmit 编译通过;manual_test:import 后在浏览器验证;risk:low"
"FBI-030","P0","1","frontend","前端类型定义与领域 API 模块","扩展 types.ts 补全 Project/Plan/Task/MemoryItem/Agent 等全部后端模型的 TS 类型。创建 9 个 services/*.ts 领域 API 模块。","1) types.ts 新增 Project 接口与后端 JSON tag 一一对应；2) 新增 ApiResponse<T> 和 PaginatedResponse<T>；3) 9 个 services 文件各导出 CRUD 函数；4) services/projects.ts 覆盖全部 8 个端点；5) TS 编译无类型错误","AUTOFRONTEND","类型字段名与后端 JSON tag 严格对齐；可选字段用 ?；enum 用 union type；每个函数返回 Promise<T>","类型与 openapi.yaml 逐字段比对；所有函数签名与端点一一对应；编译无 any 逃逸","未开始","未开始","未开始","未提交","","codeflow_template/types.ts:1;codeflow_template/api.ts:1;backend/docs/openapi.yaml:1;plan/2026-02-10_15-33-43-frontend-backend-integration.md:168",""
"FBI-040","P0","2","frontend","ProjectsView 对接后端 Projects API","替换 ProjectsView 中 6 个 mock 项目为 GET /projects 真实数据。实现创建表单(POST)、搜索过滤、点击跳转 PlanView。","1) 加载时调用 GET /projects 渲染卡片；2) New Project 弹出表单提交 POST 并刷新；3) 搜索框防抖 300ms 触发过滤；4) 卡片显示真实 title/status/progress/tags/lastActive；5) 点击跳转 PlanView 传递 projectId","AUTOE2E","使用 useApi Hook；保留 Tailwind 样式；搜索防抖；创建表单校验 title 非空","有数据时列表渲染；无数据时空状态；不可达时错误状态；创建到刷新到跳转全流程","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:236;plan/2026-02-10_15-33-43-frontend-backend-integration.md:195",""
"FBI-050","P0","2","frontend","PlanView 对接后端 Plans API","替换 PlanView 硬编码为真实数据。对接 GET /projects/:id/plans、GET /plans/:id/tasks、POST /plans、PATCH /plans/:id/tasks/:tid。","1) 根据 projectId 调用 GET /projects/:id/plans 渲染计划列表；2) 选中 Plan 后 GET /plans/:id/tasks 渲染任务；3) Execute Plan 调用 POST /plans；4) 任务状态从 task.status 动态渲染；5) 点击任务可 PATCH 更新状态","AUTOE2E","PlanView 接收 projectId 参数；状态颜色 completed=绿 in_progress=蓝 pending=灰；Editor 绑定 plan.description；Artifacts 从 metadata 读取","有 Plans 正确渲染；无 Plans 空状态；创建后刷新；状态更新 UI 实时反映","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:837;plan/2026-02-10_15-33-43-frontend-backend-integration.md:206",""
"FBI-060","P1","3","frontend","SessionsView 对接后端 Conversations API","替换 SessionsView mock 会话和聊天为真实数据。对接 GET /agents、GET /conversations/:sessionId/trace、POST stop/retry。","1) 会话列表从 GET /agents 获取渲染；2) 选中后 GET trace 渲染对话历史；3) 消息区分 user/ai 角色；4) Stop/Retry 调用 POST 端点；5) 无会话时空状态","AUTOE2E","列表显示 agent 名称/状态/时间；对话按时间排序；保留双栏和移动端 tab；消息输入暂不对接发送","有会话时渲染；无会话时空状态；Stop/Retry 后状态刷新；移动端切换正常","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:519;plan/2026-02-10_15-33-43-frontend-backend-integration.md:218",""
"FBI-070","P1","4","frontend","MemoryView 对接后端 SAMG + Memory API","替换 4 个 mock 节点为真实语义图。对接 GET /samg/nodes/visible、GET /samg/triples、GET /samg/triples/:id/relations、GET /memory/items。","1) 节点从 GET nodes/visible 获取并布局渲染；2) 边从 GET triples 获取绘制 SVG；3) 点击节点更新详情面板；4) 详情显示名称/类型/关系；5) 无节点时空状态","AUTOE2E","节点位置用简单布局算法非硬编码；颜色根据 type 映射；保留图+详情双栏；>50 节点考虑性能","有数据时图渲染；无数据时空状态；点击后详情更新；移动端上下布局正常","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:673;plan/2026-02-10_15-33-43-frontend-backend-integration.md:230",""
"FBI-080","P1","5","frontend","AgentsView 对接后端 Agents API","替换 4 个 mock preset 为真实 agent 数据。对接 GET /agents、GET /agents/:id/logs。","1) GET /agents 获取列表渲染卡片；2) 卡片显示名称/描述/状态/类型；3) Use Preset 触发激活；4) 支持查看日志；5) 无 agent 时空状态","AUTOE2E","头像颜色根据类型 hash 生成；标签从 metadata 提取；保留卡片网格和 hover；count 从数据计算","有 agents 时渲染；无 agents 时空状态；日志查看正常；移动端单列正常","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:780;plan/2026-02-10_15-33-43-frontend-backend-integration.md:243",""
"FBI-090","P1","6","frontend","SettingsView 对接后端 Config API","替换硬编码配置为真实数据。对接 GET /config/global、PUT /config/global。Intelligence 区域对接模型选择和 temperature。","1) 加载时 GET /config/global 填充模型和 temperature；2) 模型列表从 api_pool 动态渲染；3) Save 调用 PUT 保存；4) 成功显示 toast；5) 加载失败用默认值+警告条","AUTOE2E","Profile 和 Connections 暂保留硬编码；仅 Intelligence 和 Interface 对接；temperature 0-1 前端校验","配置加载->显示->修改->保存->重载全流程；不可达时默认值+警告；无效值被拦截","未开始","未开始","未开始","未提交","","codeflow_template/App.tsx:350;plan/2026-02-10_15-33-43-frontend-backend-integration.md:253",""
