"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"API-010","P0","1","backend","API基础设施搭建","添加Gin框架依赖并创建API路由结构、CORS/日志中间件、更新main.go启动HTTP服务器","1. go.mod包含gin和gorilla/websocket依赖；2. backend/internal/api/目录结构完整；3. main.go启动HTTP服务器监听8080端口；4. CORS中间件允许前端跨域请求","AUTOSERVER","检查依赖版本兼容性；验证路由注册逻辑；检查中间件执行顺序","压力测试并发连接；中间件性能开销测试","已完成","已完成","已完成","已提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:17;backend/internal/api/router.go:1","done_at:2026-01-18;evidence:go build成功 Gin框架/CORS/Logger中间件/全部API路由占位符;picked_reason:P0优先级且是所有API的基础依赖"
"API-020","P0","2","backend","Memory API实现","实现STM/LTM记忆管理接口：GET/POST/PATCH/DELETE /api/v1/memory/items及archive/restore操作","1. GET支持type=stm|ltm筛选和排序；2. POST创建记忆返回ID；3. archive/restore正确迁移记忆类型；4. heat/surprise评分计算正确；5. 响应时间<100ms","AUTOSERVER","验证与IVectorStore接口集成；检查评分算法准确性；测试排序逻辑","大数据量查询性能；并发写入测试；边界条件测试","已完成","已完成","已完成","已提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:44;backend/internal/memory/service.go:1","done_at:2026-01-18;evidence:go build成功 MemoryItem类型/IMemoryService接口/InMemoryService实现/heat-surprise评分算法/handlers完整实现;picked_reason:P0优先级且是记忆管理核心API"
"API-030","P0","3","backend","Search API实现","实现三位一体搜索接口：向量搜索/全文搜索/图谱搜索/混合搜索","1. vector搜索返回相似度分数；2. fulltext搜索支持关键词高亮；3. graph搜索返回关联三元组；4. hybrid搜索支持权重配置；5. 支持分页和排序","AUTOSERVER","验证与IRetriever和ITripleStore集成；检查高亮逻辑准确性；测试分页边界","大规模向量搜索性能；复杂图谱查询性能；并发搜索压力测试","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:62;backend/internal/retriever/types.go:1;backend/internal/samg/types.go:1",""
"API-040","P1","4","backend","Context API实现","实现文件树/AST解析/Token计算接口及上下文预设管理","1. GET /files返回递归文件树；2. POST /ast返回函数/类/变量级AST节点；3. POST /tokens返回准确Token数量；4. 预设CRUD操作正常；5. 大文件AST解析<2秒","AUTOSERVER","验证与IASTParser接口集成；检查Token计数准确性；测试文件树递归深度限制","大型项目文件树性能；复杂AST解析性能；预设持久化可靠性","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:79;backend/internal/ast/types.go:1",""
"API-050","P1","5.1","backend","Agent REST API实现","实现智能体管理REST接口：获取活跃智能体列表、日志、对话调用链、停止/重试操作","1. GET /agents返回所有活跃智能体状态；2. GET /agents/:id/logs返回最近100条日志；3. GET /conversations/:sessionId/trace返回完整调用链；4. stop/retry操作响应<500ms","AUTOSERVER","验证与ICommander接口集成；检查调用链父子关系正确性；测试停止/重试逻辑","大量智能体并发测试；长调用链性能；停止操作可靠性","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:97;backend/internal/commander/types.go:1",""
"API-060","P1","5.2","backend","Conversation WebSocket实现","实现实时流式对话WebSocket接口：连接管理、心跳检测、消息推送","1. WebSocket连接成功率>99%；2. 心跳间隔30秒；3. 断开自动重连；4. 消息推送延迟<100ms；5. 支持多客户端订阅同一会话","AUTOSERVER","验证WebSocket握手逻辑；检查心跳机制；测试断开重连","高并发WebSocket连接；长时间连接稳定性；消息丢失率测试","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:108",""
"API-070","P1","6.1","backend","Blackboard模块实现","新建internal/blackboard/模块：定义接口、实现条目CRUD、版本控制","1. IBlackboard接口定义完整；2. 条目支持state/proposal/decision/artifact类型；3. 版本号自动递增；4. 支持按类型/作者/时间筛选","AUTOSERVER","检查接口设计合理性；验证版本控制逻辑；测试并发写入","大量条目查询性能；版本冲突处理；持久化可靠性","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:115",""
"API-080","P1","6.2","backend","Blackboard API实现","实现黑板条目REST接口和BFT投票接口","1. 条目CRUD操作正常；2. 投票发起/投票/查询正常；3. BFT共识达成后自动更新状态；4. 投票超时自动关闭","AUTOSERVER","验证与IBlackboard集成；检查BFT共识逻辑；测试投票超时","并发投票测试；共识算法正确性；投票状态同步","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:118",""
"API-090","P1","7.1","backend","Debate模块实现","新建internal/debate/模块：定义接口、实现Generator/Critic角色切换、冲突检测算法","1. IDebateManager接口定义完整；2. 支持多轮辩论；3. 冲突检测准确率>90%；4. 冲突严重程度分级正确","AUTOSERVER","检查接口设计合理性；验证冲突检测算法；测试角色切换逻辑","长时间辩论性能；复杂冲突检测；状态持久化","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:134",""
"API-100","P1","7.2","backend","Debate API实现","实现辩论REST接口和WebSocket流式接口","1. 创建/查询/下一轮/解决冲突/选择方案操作正常；2. 导出审计报告格式正确；3. WebSocket实时推送辩论进度；4. 响应时间<200ms","AUTOSERVER","验证与IDebateManager集成；检查报告导出格式；测试WebSocket推送","并发辩论会话；长时间辩论稳定性；报告导出完整性","未开始","未开始","未开始","未提交","","plan/2026-01-18_21-33-34-backend-api-for-gui.md:137",""
